Time, X, Y, Z, Pitch, Yaw, Roll
05:59:14.7897 PM,-0.1045095,1.571696,0.5261363,358.0538,324.4713,129.473
05:59:14.7963 PM,-0.104787,1.57144,0.5262073,358.0778,324.455,129.4466
05:59:14.8064 PM,-0.1049284,1.57133,0.526298,358.0872,324.449,129.4302
05:59:14.8171 PM,-0.105085,1.571183,0.5264833,358.1001,324.4307,129.4013
05:59:14.8280 PM,-0.1051351,1.570954,0.5267622,358.1111,324.413,129.3766
05:59:14.8387 PM,-0.1051256,1.570879,0.5269828,358.1215,324.4034,129.359
05:59:14.8491 PM,-0.1055259,1.570631,0.5271115,358.1361,324.3945,129.3459
05:59:14.8608 PM,-0.1056238,1.570292,0.52716,358.1567,324.3839,129.3316
05:59:14.8719 PM,-0.1055743,1.570192,0.5273709,358.1978,324.3623,129.3175
05:59:14.8830 PM,-0.1058511,1.569851,0.5275062,358.2239,324.3519,129.3174
05:59:14.8944 PM,-0.1061904,1.569824,0.5273569,358.2455,324.3374,129.3315
05:59:14.9057 PM,-0.1065935,1.569187,0.5273376,358.2833,324.339,129.3414
05:59:14.9153 PM,-0.106754,1.569136,0.5275075,358.3148,324.3469,129.3421
05:59:14.9270 PM,-0.1070963,1.569045,0.5272037,358.3436,324.3529,129.3453
05:59:14.9381 PM,-0.1072555,1.568998,0.5272505,358.3752,324.3456,129.3377
05:59:14.9499 PM,-0.1074636,1.568831,0.5273688,358.4052,324.3325,129.3307
05:59:14.9611 PM,-0.1075804,1.568708,0.527319,358.4326,324.3184,129.3248
05:59:14.9722 PM,-0.1077028,1.568717,0.5273319,358.4667,324.2981,129.3047
05:59:14.9830 PM,-0.107876,1.568374,0.5273206,358.4813,324.2873,129.2878
05:59:14.9941 PM,-0.1079236,1.568295,0.5275053,358.5002,324.2777,129.2693
05:59:15.0054 PM,-0.1079972,1.568249,0.5276133,358.5241,324.2751,129.2575
05:59:15.0166 PM,-0.1084004,1.568251,0.5275354,358.5706,324.2762,129.2583
05:59:15.0278 PM,-0.1086209,1.568266,0.5275559,358.5985,324.2685,129.263
05:59:15.0390 PM,-0.1089432,1.568494,0.5275594,358.6162,324.2511,129.2611
05:59:15.0497 PM,-0.1091617,1.568671,0.5275439,358.6155,324.2281,129.249
05:59:15.0609 PM,-0.1092203,1.568641,0.5274954,358.5971,324.1996,129.228
05:59:15.0721 PM,-0.1093566,1.568692,0.5274991,358.5731,324.1687,129.2066
05:59:15.0829 PM,-0.1096133,1.56865,0.5274527,358.5333,324.1193,129.182
05:59:15.0940 PM,-0.1097092,1.568612,0.5274354,358.5049,324.0816,129.1701
05:59:15.1048 PM,-0.1097958,1.568638,0.5274496,358.4805,324.0421,129.159
05:59:15.1164 PM,-0.1100165,1.568658,0.5274596,358.4558,324.0064,129.1477
05:59:15.1270 PM,-0.1099992,1.56881,0.5274055,358.4282,323.9807,129.1293
05:59:15.1387 PM,-0.1103283,1.568591,0.5272706,358.393,323.9594,129.1025
05:59:15.1500 PM,-0.1105732,1.568489,0.5272002,358.3007,323.8986,129.027
05:59:15.1612 PM,-0.1108017,1.568202,0.5268603,358.2552,323.856,128.9892
05:59:15.1718 PM,-0.1110861,1.567711,0.52702,358.2493,323.848,128.9847
05:59:15.1828 PM,-0.1112143,1.567456,0.5267899,358.222,323.8094,128.9709
05:59:15.1944 PM,-0.1117332,1.56694,0.5266315,358.1936,323.7506,128.9741
05:59:15.2055 PM,-0.1119815,1.566471,0.5264492,358.1873,323.728,128.9789
05:59:15.2163 PM,-0.1125681,1.565929,0.5260957,358.1635,323.6221,129.0223
05:59:15.2270 PM,-0.1130642,1.565672,0.5259427,358.1518,323.4985,129.0502
05:59:15.2387 PM,-0.1136109,1.565491,0.5257743,358.1154,323.3594,129.0608
05:59:15.2501 PM,-0.1145716,1.565061,0.5252104,358.0116,323.082,129.0671
05:59:15.2608 PM,-0.1154206,1.564763,0.5244841,357.7601,322.6415,129.1516
05:59:15.2720 PM,-0.1163076,1.564285,0.523949,357.6495,322.3748,129.2475
05:59:15.2828 PM,-0.117065,1.564003,0.5235691,357.5541,322.137,129.323
05:59:15.2944 PM,-0.1179534,1.56357,0.5229362,357.432,321.8206,129.4552
05:59:15.3056 PM,-0.1197618,1.563751,0.521861,357.2672,321.2269,129.866
05:59:15.3167 PM,-0.1215118,1.564132,0.5209446,356.9834,320.4515,130.6391
05:59:15.3270 PM,-0.1230553,1.564306,0.5198427,356.738,319.6704,131.4928
05:59:15.3387 PM,-0.1247491,1.564452,0.5185726,356.4888,318.7922,132.5798
05:59:15.3499 PM,-0.1264942,1.564346,0.5172245,356.3135,317.8423,133.7732
05:59:15.3612 PM,-0.128149,1.564376,0.5158168,356.2039,316.7448,135.2094
05:59:15.3718 PM,-0.1295784,1.564385,0.5143895,356.167,315.8604,136.309
05:59:15.3830 PM,-0.1313858,1.564603,0.5129337,356.235,314.8921,137.4705
05:59:15.3941 PM,-0.1331362,1.564696,0.5106031,356.8679,313.6423,138.758
05:59:15.4053 PM,-0.136108,1.565609,0.5087571,357.3065,312.3377,140.5918
05:59:15.4170 PM,-0.1393045,1.56585,0.5052701,357.6209,310.7131,142.9171
05:59:15.4277 PM,-0.1414162,1.56757,0.5020933,357.1286,309.1637,146.073
05:59:15.4389 PM,-0.1441638,1.568592,0.4995478,357.0662,307.8482,148.0754
05:59:15.4497 PM,-0.1455859,1.571643,0.4947206,356.7338,305.9909,150.4728
05:59:15.4609 PM,-0.1485677,1.572789,0.4926634,356.4617,304.749,152.9852
05:59:15.4721 PM,-0.150719,1.574947,0.4891598,355.8671,303.7774,155.8188
05:59:15.4829 PM,-0.1525006,1.577675,0.4861027,354.907,302.9508,158.6336
05:59:15.4941 PM,-0.1544804,1.580339,0.482275,354.0656,302.0489,161.015
05:59:15.5053 PM,-0.1568072,1.583592,0.4786244,353.2854,300.7032,163.4446
05:59:15.5164 PM,-0.159817,1.585961,0.4737822,352.4287,299.2276,165.732
05:59:15.5271 PM,-0.1620171,1.587522,0.4692757,351.6678,297.5474,167.8586
05:59:15.5387 PM,-0.1634624,1.590815,0.4639916,350.7522,295.5228,169.2863
05:59:15.5499 PM,-0.1669174,1.593889,0.4600757,350.1956,293.5879,170.8249
05:59:15.5612 PM,-0.1676259,1.596928,0.4544151,349.4342,292.0164,172.2192
05:59:15.5715 PM,-0.1705129,1.599901,0.451149,348.7477,290.6374,173.331
05:59:15.5833 PM,-0.1709087,1.603266,0.4454749,348.0081,289.0793,174.7061
05:59:15.5944 PM,-0.17473,1.606391,0.4428885,347.0003,287.8756,175.9875
05:59:15.6055 PM,-0.1729322,1.608925,0.4377737,346.1994,286.2074,177.0541
05:59:15.6168 PM,-0.1754932,1.613387,0.4357767,345.0239,284.7365,178.8321
05:59:15.6271 PM,-0.174802,1.615496,0.4306576,343.7233,283.5184,180.5152
05:59:15.6388 PM,-0.1767074,1.616984,0.4262823,342.6138,282.6481,181.6539
05:59:15.6495 PM,-0.1779124,1.620277,0.4227698,341.297,282.2703,182.3531
05:59:15.6608 PM,-0.1803629,1.623565,0.421371,339.7924,282.1746,182.7567
05:59:15.6718 PM,-0.1803116,1.626455,0.4182599,338.0573,282.843,182.0277
05:59:15.6830 PM,-0.1822211,1.628988,0.4162492,336.4282,282.7561,181.4792
05:59:15.6943 PM,-0.1829641,1.631629,0.4138125,334.3497,282.4631,180.7076
05:59:15.7054 PM,-0.1850318,1.633116,0.4117874,332.1727,282.0515,179.5429
05:59:15.7165 PM,-0.1858314,1.634106,0.4076707,330.2292,281.6078,176.7639
05:59:15.7278 PM,-0.1853423,1.634822,0.4053301,328.3644,280.9815,174.6435
05:59:15.7391 PM,-0.1860885,1.635802,0.4046147,326.2801,280.5121,172.602
05:59:15.7491 PM,-0.1849926,1.636267,0.4019421,323.6578,280.4933,170.7592
05:59:15.7609 PM,-0.1860284,1.636229,0.4021227,320.8968,280.9492,168.751
05:59:15.7721 PM,-0.185072,1.635286,0.4018946,318.1419,281.8362,166.774
05:59:15.7834 PM,-0.1869088,1.633148,0.4025881,315.4432,283.6375,164.872
05:59:15.7941 PM,-0.1882021,1.630621,0.402894,313.3938,285.2618,162.8521
05:59:15.8054 PM,-0.1912537,1.627931,0.4025815,311.7209,286.9367,160.4444
05:59:15.8165 PM,-0.1948626,1.623694,0.400318,310.9034,288.3945,157.2955
05:59:15.8276 PM,-0.1983575,1.617465,0.3970194,311.5448,289.0002,153.1744
05:59:15.8389 PM,-0.2017403,1.612812,0.3943715,311.1149,289.7604,149.8324
05:59:15.8487 PM,-0.2045141,1.606296,0.3915561,311.6658,289.5499,145.8782
05:59:15.8610 PM,-0.2076504,1.601274,0.3891789,311.2417,290.3273,142.1813
05:59:15.8722 PM,-0.2105711,1.595037,0.3884751,310.3399,291.613,138.6106
05:59:15.8830 PM,-0.2142271,1.588471,0.3868656,309.265,293.2298,134.9921
05:59:15.8943 PM,-0.2209082,1.574767,0.3874819,309.1557,296.146,129.7224
05:59:15.9053 PM,-0.2241411,1.570512,0.3812972,308.4267,298.4447,124.421
05:59:15.9155 PM,-0.2292026,1.56238,0.3779517,307.7119,300.326,119.4418
05:59:15.9278 PM,-0.2336568,1.553047,0.3753685,306.7724,302.4291,114.4562
05:59:15.9391 PM,-0.2412517,1.542853,0.371952,306.4196,303.6399,110.5918
05:59:15.9497 PM,-0.2491593,1.527807,0.3704701,307.0267,303.9797,109.361
05:59:15.9611 PM,-0.2579771,1.514556,0.3668634,308.0889,304.0726,108.1402
05:59:15.9714 PM,-0.2653072,1.500443,0.3629063,309.29,303.9468,107.3441
05:59:15.9830 PM,-0.2745956,1.487519,0.3585633,310.4155,303.395,106.4535
05:59:15.9942 PM,-0.283466,1.473571,0.3531961,311.3226,302.0966,105.8525
05:59:16.0054 PM,-0.2934337,1.458768,0.3495121,312.5706,299.8581,106.1264
05:59:16.0171 PM,-0.3027171,1.443614,0.3447515,313.999,298.3898,105.7999
05:59:16.0277 PM,-0.3120903,1.429103,0.3399073,315.7008,297.1679,105.2215
05:59:16.0389 PM,-0.3216389,1.41463,0.3351114,317.3844,296.1257,104.1562
05:59:16.0501 PM,-0.3296351,1.40157,0.3305646,318.6886,295.5292,102.3908
05:59:16.0618 PM,-0.3379048,1.390511,0.3285583,319.3145,295.8544,99.36797
05:59:16.0719 PM,-0.3450564,1.379087,0.3246801,319.7916,295.8252,97.21141
05:59:16.0829 PM,-0.3528087,1.367297,0.3245978,319.2978,297.2957,93.10741
05:59:16.0941 PM,-0.3606337,1.354678,0.3224259,319.5602,298.202,89.69358
05:59:16.1052 PM,-0.3660886,1.340493,0.3161125,320.0048,298.5652,86.22645
05:59:16.1164 PM,-0.3744568,1.327524,0.3145952,320.5433,298.5119,82.68546
05:59:16.1277 PM,-0.383672,1.311481,0.3170849,321.6918,299.3007,79.13583
05:59:16.1390 PM,-0.3928458,1.296402,0.3150568,322.8423,299.5963,76.45223
05:59:16.1497 PM,-0.4019682,1.278422,0.3163882,325.0527,300.1237,75.12529
05:59:16.1610 PM,-0.4080786,1.262055,0.317614,327.6324,300.7773,74.68126
05:59:16.1723 PM,-0.4139847,1.246835,0.3155951,329.9874,300.6836,74.98563
05:59:16.1835 PM,-0.4207386,1.237929,0.3187967,331.8808,300.932,75.22726
05:59:16.1942 PM,-0.4251673,1.230052,0.3186554,332.4544,301.5848,73.33933
05:59:16.2054 PM,-0.4288952,1.222124,0.3177207,332.5751,302.9272,70.41659
05:59:16.2171 PM,-0.4324119,1.213612,0.316128,332.5953,303.9324,67.02306
05:59:16.2277 PM,-0.4385,1.203861,0.3172456,333.2849,305.1568,64.0623
05:59:16.2389 PM,-0.4456478,1.193826,0.3187692,334.6561,306.5085,61.67042
05:59:16.2491 PM,-0.4483651,1.186253,0.3179933,335.7977,307.3517,59.75272
05:59:16.2608 PM,-0.452005,1.179303,0.3165359,336.5431,307.8188,57.78172
05:59:16.2715 PM,-0.4562942,1.173753,0.3171043,336.9682,308.481,55.67129
05:59:16.2832 PM,-0.4592069,1.168982,0.3176854,337.2069,309.5771,53.45366
05:59:16.2944 PM,-0.4613364,1.163326,0.3158177,337.2387,310.2094,51.57444
05:59:16.3055 PM,-0.4656606,1.157131,0.3158416,337.3929,310.2242,51.52618
05:59:16.3167 PM,-0.4687217,1.151656,0.3145577,337.709,309.9751,51.78902
05:59:16.3269 PM,-0.4718643,1.146447,0.3137472,337.9207,309.5614,52.38259
05:59:16.3391 PM,-0.4751424,1.141561,0.3136274,338.2215,309.1671,53.02576
05:59:16.3498 PM,-0.477815,1.136505,0.3137211,338.6403,308.8989,53.49133
05:59:16.3610 PM,-0.480621,1.131452,0.3147452,339.2548,308.9648,53.83225
05:59:16.3726 PM,-0.4827424,1.127631,0.315473,339.8826,309.3241,53.4915
05:59:16.3832 PM,-0.4845622,1.123595,0.3163792,340.6591,309.9034,52.76872
05:59:16.3943 PM,-0.4869119,1.120321,0.3167353,341.4773,310.6136,51.73513
05:59:16.4056 PM,-0.4889256,1.117121,0.3173205,342.123,311.0982,50.51518
05:59:16.4178 PM,-0.4916739,1.114835,0.3175877,342.7778,311.1641,49.39455
05:59:16.4269 PM,-0.4935513,1.113058,0.3177407,343.1864,311.1947,48.64311
05:59:16.4387 PM,-0.4960216,1.111246,0.3184664,343.4741,311.1404,48.03891
05:59:16.4501 PM,-0.4983234,1.109915,0.3188718,343.8875,310.976,47.53691
05:59:16.4608 PM,-0.5007134,1.109504,0.3197102,344.4928,311.0091,46.68075
05:59:16.4721 PM,-0.5012897,1.108931,0.3201914,344.9886,310.6363,45.13553
05:59:16.4825 PM,-0.5027562,1.110013,0.3196009,345.185,309.841,43.86851
05:59:16.4942 PM,-0.5059559,1.110392,0.32262,345.4065,309.0705,42.77229
05:59:16.5054 PM,-0.508617,1.111858,0.3260145,345.8054,308.7179,41.848
05:59:16.5166 PM,-0.5109384,1.11407,0.3309188,345.8564,308.7065,40.77331
05:59:16.5278 PM,-0.508221,1.116761,0.3352368,345.5334,309.735,39.65853
05:59:16.5381 PM,-0.5076901,1.119555,0.3393317,345.1009,310.4033,38.84497
05:59:16.5498 PM,-0.5081232,1.121611,0.3439422,344.933,311.0361,38.12791
05:59:16.5611 PM,-0.5073826,1.125522,0.349216,344.0626,312.0697,38.82169
05:59:16.5720 PM,-0.506553,1.129192,0.3535458,343.1946,312.7032,39.69862
05:59:16.5833 PM,-0.5059551,1.133613,0.3586828,342.1759,313.3471,40.86182
05:59:16.5945 PM,-0.5038972,1.138428,0.3643253,340.989,314.2798,42.44188
05:59:16.6053 PM,-0.5022224,1.142764,0.3698752,340.1538,315.0915,43.24905
05:59:16.6165 PM,-0.5006644,1.146962,0.3764769,339.4329,316.0405,43.80086
05:59:16.6271 PM,-0.5014405,1.148785,0.3801469,338.9203,316.9308,44.11564
05:59:16.6388 PM,-0.4988458,1.153927,0.3871499,338.4966,317.952,44.10823
05:59:16.6497 PM,-0.4959664,1.159527,0.3941642,338.1289,319.2075,43.86282
05:59:16.6609 PM,-0.4922075,1.167837,0.3997896,337.463,320.3076,43.90521
05:59:16.6722 PM,-0.4894935,1.174174,0.406437,336.5136,321.2152,44.08867
05:59:16.6830 PM,-0.486259,1.182489,0.4126375,335.3732,322.1168,44.39434
05:59:16.6944 PM,-0.4822291,1.191043,0.4193103,334.085,323.1497,44.66387
05:59:16.7058 PM,-0.4774257,1.200948,0.4269729,332.4687,324.4498,44.65858
