Time, X, Y, Z, Pitch, Yaw, Roll
04:39:27.2277 PM,-0.7636297,1.634894,0.2447952,343.8815,15.7262,25.7293
04:39:27.2374 PM,-0.7641081,1.636242,0.2435428,343.7387,15.56245,25.90831
04:39:27.2460 PM,-0.7641491,1.636541,0.2434876,343.7551,15.65122,25.71941
04:39:27.2526 PM,-0.7642262,1.63704,0.2431423,343.7799,15.7115,25.64127
04:39:27.2597 PM,-0.7641504,1.637074,0.2430365,343.7923,15.72833,25.635
04:39:27.2779 PM,-0.7643406,1.637467,0.2429748,343.77,15.6965,25.69765
04:39:27.2871 PM,-0.7645142,1.637713,0.2427911,343.7417,15.65893,25.79045
04:39:27.2962 PM,-0.7650353,1.638742,0.2427293,343.6248,15.6222,26.46235
04:39:27.3039 PM,-0.7651874,1.639024,0.2429366,343.5599,15.62719,26.60788
04:39:27.3120 PM,-0.7654611,1.639262,0.242869,343.5287,15.62871,26.71326
04:39:27.3186 PM,-0.7660069,1.639768,0.2428589,343.4489,15.60948,26.83697
04:39:27.3302 PM,-0.7665513,1.640331,0.2427795,343.3605,15.56077,26.89781
04:39:27.3413 PM,-0.7668613,1.640568,0.2428447,343.3432,15.55635,26.80456
04:39:27.3544 PM,-0.7671791,1.640459,0.2429067,343.3987,15.59193,26.63691
04:39:27.3636 PM,-0.767647,1.640303,0.2429464,343.4607,15.60529,26.55281
04:39:27.3747 PM,-0.7684258,1.640097,0.2430377,343.4106,15.59365,26.58684
04:39:27.3858 PM,-0.7690817,1.639787,0.2434901,343.3983,15.57198,26.59062
04:39:27.3970 PM,-0.7698682,1.640064,0.2436188,343.401,15.53267,26.59939
04:39:27.4103 PM,-0.7702888,1.63957,0.2438698,343.4135,15.47872,26.60025
04:39:27.4194 PM,-0.7710424,1.63945,0.2441069,343.4431,15.40968,26.58439
04:39:27.4310 PM,-0.772168,1.639428,0.2441666,343.5363,15.10177,26.50105
04:39:27.4427 PM,-0.7733063,1.639559,0.2441535,343.5751,14.81649,26.54676
04:39:27.4671 PM,-0.7738841,1.639715,0.2442861,343.545,14.70673,26.60526
