Time, X, Y, Z, Pitch, Yaw, Roll
08:51:38.0825 PM,-0.07356757,0.7122166,0.5298624,358.0109,2.498599,34.01384
08:51:38.0985 PM,-0.07330501,0.7118009,0.5299685,358.102,2.571675,33.85715
08:51:38.1093 PM,-0.07299808,0.7112843,0.5301089,358.258,2.644953,33.74063
08:51:38.1183 PM,-0.07269874,0.7106695,0.5301625,358.4414,2.714005,33.6392
08:51:38.1274 PM,-0.07240713,0.7101251,0.5304278,358.6574,2.786304,33.56073
08:51:38.1364 PM,-0.07225895,0.7095272,0.5304281,358.8456,2.830076,33.47051
08:51:38.1459 PM,-0.07216352,0.7090283,0.5304146,359.0028,2.848079,33.40875
08:51:38.1539 PM,-0.07213026,0.7086343,0.5304202,359.1303,2.85018,33.34958
08:51:38.1624 PM,-0.07209057,0.7084729,0.5304918,359.2112,2.792753,33.32751
08:51:38.1714 PM,-0.0721983,0.7083386,0.5304713,359.262,2.759654,33.3318
08:51:38.1799 PM,-0.07245559,0.708592,0.5304979,359.1651,2.694184,33.38996
08:51:38.1893 PM,-0.07263917,0.7089003,0.5306278,359.0523,2.665836,33.46391
08:51:38.2004 PM,-0.07288846,0.7092192,0.5305322,358.9262,2.624442,33.59363
08:51:38.2114 PM,-0.0731506,0.7093934,0.5304878,358.8344,2.572284,33.70534
08:51:38.2231 PM,-0.07346901,0.7097207,0.5304091,358.7191,2.503595,33.82563
08:51:38.2341 PM,-0.07380405,0.7100542,0.5305197,358.6076,2.423632,33.89008
08:51:38.2462 PM,-0.07409114,0.7103185,0.5304288,358.5046,2.346653,33.98913
08:51:38.2563 PM,-0.07438928,0.7107435,0.5306931,358.4061,2.283315,34.07994
08:51:38.2668 PM,-0.07464877,0.711085,0.5309794,358.3276,2.219751,34.11272
08:51:38.2783 PM,-0.07484865,0.7111672,0.5309186,358.3049,2.150263,34.15482
08:51:38.2894 PM,-0.07495013,0.7111146,0.5307422,358.3071,2.113741,34.12524
08:51:38.3001 PM,-0.07492626,0.7110275,0.530735,358.3396,2.104928,34.05191
08:51:38.3115 PM,-0.07500082,0.711058,0.5306329,358.3423,2.085736,34.03603
08:51:38.3225 PM,-0.07478464,0.7107557,0.5306896,358.4571,2.105674,33.94389
08:51:38.3335 PM,-0.07461321,0.7105968,0.5306987,358.507,2.156909,33.81871
08:51:38.3444 PM,-0.07437333,0.710417,0.5307258,358.5547,2.215294,33.69298
08:51:38.3555 PM,-0.07402709,0.7102139,0.5308675,358.6263,2.330342,33.60267
08:51:38.3673 PM,-0.07384047,0.7100971,0.5308367,358.6929,2.40728,33.55308
08:51:38.3783 PM,-0.07354501,0.7099072,0.5308394,358.7935,2.472177,33.44448
08:51:38.3894 PM,-0.07331467,0.7099088,0.5308894,358.87,2.518019,33.32013
08:51:38.3994 PM,-0.0730781,0.7098311,0.5309155,359.0007,2.514306,33.07061
08:51:38.4113 PM,-0.07282254,0.7097465,0.5308912,359.1093,2.512944,32.84979
08:51:38.4219 PM,-0.07253745,0.7097906,0.5309038,359.2112,2.495139,32.50873
08:51:38.4338 PM,-0.07214525,0.7098293,0.5306966,359.2911,2.470163,32.15382
08:51:38.4448 PM,-0.07171196,0.7098994,0.5306888,359.3912,2.472474,31.84044
08:51:38.4553 PM,-0.0709919,0.7102686,0.5309995,359.5083,2.550219,31.4516
08:51:38.4668 PM,-0.07010844,0.7105502,0.5311311,359.6622,2.662317,30.87065
08:51:38.4783 PM,-0.06890249,0.7109796,0.5311757,359.8511,2.800775,30.01497
08:51:38.4893 PM,-0.06751689,0.7115911,0.5314814,0.05845758,2.942588,28.887
08:51:38.5003 PM,-0.06606922,0.7122039,0.5318127,0.2540652,3.119752,27.70897
08:51:38.5113 PM,-0.06406426,0.7132303,0.5325087,0.3878478,3.399158,26.13996
08:51:38.5218 PM,-0.06199345,0.7143185,0.5331587,0.4812866,3.720359,24.59116
08:51:38.5334 PM,-0.05901802,0.7161015,0.5343444,0.6081741,4.316796,22.51864
08:51:38.5444 PM,-0.05583099,0.7175295,0.5352941,0.7999113,5.058206,20.40701
08:51:38.5554 PM,-0.05281493,0.7192971,0.5364994,0.9546219,5.729406,18.33066
08:51:38.5663 PM,-0.04993477,0.7209457,0.5376285,1.065262,6.219714,16.39903
08:51:38.5783 PM,-0.04726061,0.7231292,0.539297,0.999521,6.658434,14.35685
08:51:38.5893 PM,-0.0444659,0.7254428,0.5409228,0.8551072,7.027229,12.5714
08:51:38.5993 PM,-0.04225668,0.7283887,0.5430647,0.4465536,7.185135,11.03403
08:51:38.6113 PM,-0.03985736,0.7314675,0.5454801,359.9859,7.178022,9.748162
08:51:38.6223 PM,-0.03746781,0.7348462,0.5483984,359.5242,7.005334,8.784098
08:51:38.6334 PM,-0.03533146,0.7385336,0.5515761,359.0515,6.74491,8.093605
08:51:38.6445 PM,-0.03254902,0.7423251,0.5550635,358.6064,6.727715,7.168125
08:51:38.6551 PM,-0.02919683,0.7472584,0.558583,357.7135,6.853848,6.511845
08:51:38.6671 PM,-0.02574414,0.7518407,0.5620711,357.0052,7.065477,5.592595
08:51:38.6776 PM,-0.02196372,0.7566977,0.5654453,356.2464,7.413529,4.874582
08:51:38.6891 PM,-0.017988,0.7615203,0.5693958,355.4429,7.88991,4.256379
08:51:38.7002 PM,-0.01418373,0.7661098,0.5727154,354.6166,8.338438,3.824004
08:51:38.7111 PM,-0.01036417,0.771059,0.5758396,353.9462,8.915321,3.879979
08:51:38.7223 PM,-0.006689787,0.7749362,0.5785946,353.7089,9.75744,4.577114
08:51:38.7333 PM,-0.002830386,0.7790413,0.5815053,353.3693,10.60873,4.937802
08:51:38.7453 PM,0.001639307,0.7831066,0.5846224,353.2425,11.48229,4.909388
08:51:38.7568 PM,0.006405115,0.7863431,0.5875604,353.1147,12.26451,4.051561
08:51:38.7683 PM,0.0110859,0.7896425,0.590551,352.4774,13.03288,3.093437
08:51:38.7801 PM,0.01601955,0.7931777,0.593223,351.2701,14.02339,1.451524
08:51:38.7915 PM,0.02111012,0.7971479,0.5957624,349.8484,15.20065,359.4632
08:51:38.8024 PM,0.02660057,0.8006513,0.5975564,348.4863,16.59357,357.2948
08:51:38.8148 PM,0.03201291,0.8040485,0.5993786,347.091,18.04482,355.1204
08:51:38.8254 PM,0.03708875,0.8076528,0.6006105,345.6263,19.41688,353.4064
08:51:38.8369 PM,0.04168066,0.8110539,0.6008582,343.9589,20.61398,352.5073
08:51:38.8484 PM,0.04571971,0.8145665,0.6013469,342.2542,21.76823,351.8953
08:51:38.8603 PM,0.0488489,0.8182716,0.6012937,340.3043,22.78645,352.1963
08:51:38.8715 PM,0.05208448,0.822295,0.601362,338.4693,23.80765,352.4308
08:51:38.8823 PM,0.05594239,0.8259462,0.6016316,337.279,24.63118,352.0056
08:51:38.8936 PM,0.05935875,0.8290351,0.6025546,336.1885,25.13148,351.3283
08:51:38.9043 PM,0.06285369,0.8322732,0.6037267,335.034,25.77248,350.3861
08:51:38.9157 PM,0.06645128,0.8349224,0.6063199,334.2639,26.19188,349.2456
08:51:38.9267 PM,0.06942606,0.8368548,0.6091299,333.501,26.61812,348.4597
08:51:38.9372 PM,0.07221127,0.8390905,0.6133475,333.0665,26.62463,348.1185
08:51:38.9492 PM,0.07442972,0.8411656,0.6173842,332.7504,26.42097,348.142
08:51:38.9594 PM,0.07547346,0.843206,0.6238734,333.1321,25.49619,348.7577
08:51:38.9713 PM,0.07674837,0.8440906,0.6297529,333.9121,24.23369,348.9626
08:51:38.9823 PM,0.07774314,0.8442655,0.6361194,334.8748,23.0016,348.844
08:51:38.9936 PM,0.07877535,0.8441156,0.6415821,335.5974,21.86618,349.0269
08:51:39.0044 PM,0.0790239,0.8437442,0.6471639,336.1996,20.49028,349.9855
08:51:39.0159 PM,0.07918328,0.8432627,0.6523083,336.6604,19.10333,351.2407
08:51:39.0258 PM,0.07862702,0.8424683,0.6576066,337.0154,17.35258,353.55
08:51:39.0373 PM,0.07821408,0.8414628,0.6625824,337.3298,15.58489,355.748
08:51:39.0485 PM,0.07665196,0.8404652,0.667737,337.4661,13.27727,358.5667
08:51:39.0593 PM,0.07548138,0.8396364,0.6722182,337.7608,11.34202,0.4934302
08:51:39.0706 PM,0.07407731,0.8384207,0.6771755,338.0369,9.608092,1.676643
08:51:39.0822 PM,0.07298294,0.8369496,0.6816919,338.2763,7.95664,2.342562
08:51:39.0936 PM,0.07159114,0.8348228,0.6862209,338.4363,6.373431,3.034402
08:51:39.1043 PM,0.07023838,0.832589,0.6907682,338.6848,4.626194,4.118411
08:51:39.1153 PM,0.06870782,0.8298554,0.6956224,339.2094,2.826453,5.542235
08:51:39.1263 PM,0.06678656,0.8261995,0.7002797,340.1416,0.9086069,7.291001
08:51:39.1373 PM,0.06478533,0.8218378,0.7058126,341.5176,359.0551,9.409317
08:51:39.1483 PM,0.06309593,0.8169109,0.7111833,342.9611,357.5546,11.31328
08:51:39.1594 PM,0.06209818,0.8118253,0.7162182,344.4484,356.4422,13.0933
08:51:39.1715 PM,0.06136954,0.8063757,0.7210184,345.8333,355.6121,15.0856
08:51:39.1819 PM,0.06110758,0.8009863,0.725683,347.0731,354.969,16.99518
08:51:39.1934 PM,0.06103206,0.7954665,0.7298868,348.1602,354.4512,18.94507
08:51:39.2044 PM,0.06137845,0.7893732,0.7339197,349.1383,354.1044,21.45433
08:51:39.2154 PM,0.06155059,0.7828691,0.7379302,350.2865,353.385,24.06921
08:51:39.2264 PM,0.0616816,0.7763777,0.7416682,351.4953,352.5376,26.52979
08:51:39.2379 PM,0.06082824,0.7690436,0.7450469,352.8674,351.4604,28.96237
08:51:39.2484 PM,0.0607456,0.7620818,0.7481935,354.1558,350.4232,31.24325
08:51:39.2604 PM,0.06087291,0.7553469,0.751214,355.345,349.4786,33.28238
08:51:39.2708 PM,0.06091243,0.7489037,0.7536571,356.2694,348.3842,34.96647
08:51:39.2818 PM,0.0596976,0.7420929,0.7554774,356.8156,347.1575,36.75027
08:51:39.2934 PM,0.0585435,0.735347,0.757164,357.1838,345.5615,39.13422
08:51:39.3046 PM,0.05702496,0.7283868,0.7589167,357.5485,343.639,42.17246
08:51:39.3161 PM,0.05580837,0.7208211,0.7603251,358.162,341.8117,45.21611
08:51:39.3266 PM,0.05461812,0.7127902,0.7617433,358.8264,339.6057,48.95075
08:51:39.3381 PM,0.05389121,0.7040238,0.7630619,359.6914,337.7378,52.91493
08:51:39.3491 PM,0.05396953,0.6950141,0.7650054,0.6158106,336.0279,56.8876
08:51:39.3603 PM,0.05451804,0.6857468,0.7672663,1.820569,334.4662,60.54127
08:51:39.3714 PM,0.05579224,0.6761137,0.7695807,3.340086,333.0388,64.12741
08:51:39.3823 PM,0.05765399,0.6659413,0.7724839,5.355017,331.9726,67.6526
08:51:39.3937 PM,0.06022292,0.6559746,0.7755829,7.35674,331.2966,70.89722
08:51:39.4042 PM,0.06398571,0.6466428,0.7796963,9.164128,331.159,73.7673
08:51:39.4158 PM,0.0667429,0.6384462,0.7850282,10.69269,331.1158,76.38313
08:51:39.4268 PM,0.07095656,0.6309552,0.7911304,11.90328,331.5355,78.38489
08:51:39.4374 PM,0.07507429,0.6232013,0.7968631,13.06163,332.0085,80.07129
08:51:39.4494 PM,0.07951698,0.6151348,0.8024255,14.42422,332.4218,81.82056
08:51:39.4604 PM,0.08406702,0.6064442,0.8079689,16.0993,332.8602,84.13624
08:51:39.4709 PM,0.08873257,0.5974873,0.8134495,17.92757,333.3976,86.84792
08:51:39.4828 PM,0.09280643,0.5860061,0.8194402,20.32326,333.9812,90.85396
08:51:39.4933 PM,0.09708768,0.5760719,0.8247403,22.51362,334.3576,94.16743
08:51:39.5043 PM,0.1009597,0.566568,0.8299321,24.40126,334.6528,97.1765
08:51:39.5158 PM,0.1047654,0.5577498,0.8351001,25.95646,335.0428,99.92321
08:51:39.5268 PM,0.1077878,0.5491388,0.8399967,27.25391,335.3189,102.3785
08:51:39.5373 PM,0.1102694,0.5406589,0.8446796,28.27959,335.6077,104.4938
08:51:39.5478 PM,0.1128932,0.53225,0.8492841,29.35644,335.8547,106.5783
08:51:39.5603 PM,0.1141135,0.5239781,0.8525454,30.28084,335.717,107.8404
08:51:39.5713 PM,0.1161113,0.5153038,0.8559055,31.46522,335.8378,109.5324
08:51:39.5818 PM,0.1175388,0.5070608,0.8579155,32.84302,335.6183,110.5306
08:51:39.5934 PM,0.1189426,0.4984959,0.8585181,35.4883,335.4872,111.8081
08:51:39.6045 PM,0.1215292,0.4893917,0.8584405,38.53428,335.5208,113.3761
08:51:39.6153 PM,0.1237609,0.480731,0.8578591,41.66132,335.586,114.4548
08:51:39.6268 PM,0.125959,0.4740128,0.8575803,44.41761,336.1326,115.3458
08:51:39.6374 PM,0.1276714,0.4699743,0.8600248,46.2257,337.2978,116.5961
08:51:39.6479 PM,0.1288058,0.4657557,0.8620635,46.9089,338.2305,116.4923
08:51:39.6594 PM,0.1259539,0.4662032,0.8676116,46.62743,339.2123,114.0107
