Time, X, Y, Z, Pitch, Yaw, Roll
12:12:19.5448 PM,-0.008785516,1.216315,0.6678721,349.547,3.899788,19.84149
12:12:19.5655 PM,-0.008874565,1.216351,0.668025,349.5444,3.927396,19.71874
12:12:19.5753 PM,-0.01072198,1.216091,0.6690466,349.5911,3.856369,19.36945
12:12:19.5838 PM,-0.01105374,1.215867,0.6671321,349.5371,3.766518,19.39132
12:12:19.5908 PM,-0.0113968,1.216163,0.6677433,349.4741,3.718477,19.38699
12:12:19.5990 PM,-0.01167813,1.216304,0.6677587,349.4157,3.665438,19.40298
12:12:19.6087 PM,-0.01195982,1.216504,0.6681166,349.3783,3.650789,19.46055
12:12:19.6197 PM,-0.01218662,1.21665,0.6681501,349.3447,3.614838,19.59601
12:12:19.6307 PM,-0.0124338,1.216893,0.6683745,349.2919,3.587932,19.73418
12:12:19.6417 PM,-0.01260683,1.217315,0.6686692,349.1952,3.575911,19.91887
12:12:19.6528 PM,-0.0127866,1.217617,0.6685804,349.0875,3.563038,20.08655
12:12:19.6637 PM,-0.01266479,1.217888,0.6670375,348.9499,3.566228,20.15297
12:12:19.6748 PM,-0.01275116,1.218345,0.6666973,348.785,3.586999,20.08558
12:12:19.6867 PM,-0.01298141,1.218826,0.6664195,348.6077,3.572315,20.01347
12:12:19.6969 PM,-0.01321343,1.219275,0.6658033,348.3929,3.520863,19.97282
12:12:19.7079 PM,-0.01355487,1.219663,0.6651783,348.1926,3.434611,20.03647
12:12:19.7191 PM,-0.01408246,1.219924,0.6641526,347.8956,3.267922,20.24984
12:12:19.7306 PM,-0.01467147,1.22017,0.6623664,347.4884,3.084215,20.67338
12:12:19.7411 PM,-0.01570117,1.220356,0.6615691,346.9996,2.803082,21.47064
12:12:19.7527 PM,-0.01673001,1.220243,0.6597017,346.4811,2.516031,22.4139
12:12:19.7646 PM,-0.01898926,1.220766,0.6630571,345.8873,2.128132,23.74396
12:12:19.7747 PM,-0.02059156,1.219985,0.6602026,345.2187,1.792987,24.61434
12:12:19.7857 PM,-0.02169913,1.218087,0.6525723,344.5778,1.494604,24.79246
12:12:19.7968 PM,-0.02345571,1.216652,0.6490002,343.988,1.10602,24.98954
12:12:19.8078 PM,-0.02608427,1.213804,0.6432903,343.4563,0.3484101,25.27466
12:12:19.8191 PM,-0.02834371,1.209625,0.6296245,342.812,358.9997,26.2893
12:12:19.8307 PM,-0.03244701,1.205225,0.6238121,342.3479,357.4062,28.19234
12:12:19.8417 PM,-0.03606459,1.201112,0.6185691,341.8843,355.8707,30.1823
12:12:19.8519 PM,-0.04036844,1.195803,0.6114891,341.4117,354.1957,32.10028
12:12:19.8635 PM,-0.04288954,1.1899,0.6033635,340.9396,352.9272,32.25011
12:12:19.8746 PM,-0.04526415,1.184159,0.596173,340.5181,352.0262,31.65313
12:12:19.8857 PM,-0.04742891,1.178102,0.5884184,340.0481,351.3138,30.98438
12:12:19.8969 PM,-0.04927471,1.171256,0.5816463,339.7345,350.7141,30.54379
12:12:19.9080 PM,-0.05126041,1.164303,0.57544,339.3843,350.0288,30.64503
12:12:19.9197 PM,-0.05284217,1.156407,0.5677705,339.1125,349.2979,30.96038
12:12:19.9302 PM,-0.05424604,1.145809,0.5584774,339.2092,348.5202,32.21551
12:12:19.9417 PM,-0.0561468,1.137086,0.5519321,339.3859,347.623,32.72139
12:12:19.9527 PM,-0.05752844,1.12682,0.5437413,339.7773,346.4837,32.9677
12:12:19.9637 PM,-0.05911744,1.117033,0.5352192,339.9775,345.6294,32.70618
12:12:19.9748 PM,-0.05885252,1.106199,0.5275313,340.0917,345.3712,30.88195
12:12:19.9858 PM,-0.05811083,1.095864,0.5194533,340.0447,345.364,28.96724
12:12:19.9970 PM,-0.05736953,1.085149,0.5115856,340.109,345.2377,27.13044
12:12:20.0078 PM,-0.05591848,1.073342,0.5033647,340.5009,345.1696,25.65529
12:12:20.0188 PM,-0.05488336,1.061089,0.4957283,340.9516,344.8651,24.7452
12:12:20.0298 PM,-0.05305415,1.045954,0.4826037,341.7267,344.3994,24.78893
12:12:20.0413 PM,-0.05144566,1.032569,0.4732059,342.4244,344.0684,24.69389
12:12:20.0529 PM,-0.04955396,1.019066,0.466056,343.2724,344.1695,24.73265
12:12:20.0638 PM,-0.04637522,1.005553,0.4526696,343.7601,344.6196,23.91217
12:12:20.0749 PM,-0.04322359,0.9927443,0.4457484,344.4745,345.1869,22.45693
12:12:20.0859 PM,-0.03952694,0.9800804,0.440203,345.335,345.5166,21.01319
12:12:20.0969 PM,-0.03656244,0.9672834,0.4333797,346.1521,345.6904,19.7991
12:12:20.1084 PM,-0.03352141,0.9548525,0.4312057,346.9833,345.6702,18.70534
12:12:20.1192 PM,-0.02998295,0.9422147,0.4256291,347.5483,345.6794,17.89496
12:12:20.1307 PM,-0.02638999,0.9300929,0.4194844,347.9352,345.7544,17.58971
12:12:20.1412 PM,-0.0232816,0.918595,0.4186237,348.4017,345.9349,17.8338
12:12:20.1517 PM,-0.0198023,0.9064744,0.4130099,348.9146,346.0016,18.21421
12:12:20.1636 PM,-0.0161725,0.8946463,0.409518,349.5718,346.1734,19.28119
12:12:20.1746 PM,-0.01246449,0.8841532,0.411191,350.4555,346.391,20.13007
12:12:20.1860 PM,-0.00838989,0.8725292,0.4067708,351.2823,346.7423,20.37834
12:12:20.1967 PM,-0.003312439,0.8628977,0.4043684,352.2427,347.5566,19.45346
12:12:20.2077 PM,0.002281278,0.8523301,0.400857,353.2784,348.6635,17.57172
12:12:20.2187 PM,0.007343948,0.8421599,0.3992413,354.3217,350.0006,15.41224
12:12:20.2307 PM,0.01310509,0.8317562,0.3961267,355.4191,351.2899,13.56225
12:12:20.2408 PM,0.01821467,0.8208171,0.3933125,356.5807,352.2401,12.79545
12:12:20.2538 PM,0.02303091,0.8101972,0.3899659,357.7025,353.0349,12.32968
12:12:20.2683 PM,0.02692711,0.7998475,0.3871672,359.0071,353.4996,13.18693
12:12:20.2799 PM,0.03082678,0.7892585,0.3841937,0.3398817,353.997,13.89005
12:12:20.2904 PM,0.03484866,0.7787787,0.3815321,1.651154,354.5601,14.32976
12:12:20.3018 PM,0.03896737,0.7684261,0.3789725,2.97948,355.2759,14.51734
12:12:20.3128 PM,0.04324532,0.7580922,0.3764055,4.345798,356.132,14.59912
12:12:20.3236 PM,0.04768637,0.7478555,0.3742033,5.892341,357.2231,14.57897
12:12:20.3347 PM,0.05205414,0.7376042,0.372015,7.570325,358.2287,14.48555
12:12:20.3457 PM,0.05593434,0.7273919,0.3697226,9.263347,358.9928,14.4052
12:12:20.3575 PM,0.05947378,0.7173742,0.3673179,10.80161,359.6284,14.56483
