Time, X, Y, Z, Pitch, Yaw, Roll
12:45:31.9798 PM,0.4046592,2.182158,0.1699252,310.3286,16.09835,352.5018
12:45:31.9876 PM,0.4042292,2.181603,0.1689359,310.6799,16.307,352.6758
12:45:31.9998 PM,0.403807,2.180968,0.1677253,310.9376,16.43207,353.0472
12:45:32.0105 PM,0.4032742,2.180612,0.1667224,311.0945,16.51184,353.475
12:45:32.0209 PM,0.4026797,2.180278,0.1657273,311.1831,16.54479,353.7991
12:45:32.0327 PM,0.4021833,2.179929,0.1644899,311.1765,16.5449,353.8903
12:45:32.0434 PM,0.4015472,2.179671,0.1635978,311.0775,16.52068,353.8098
12:45:32.0550 PM,0.400411,2.1794,0.161984,310.559,16.47374,353.3539
12:45:32.0658 PM,0.4000646,2.179104,0.161078,310.5383,16.51106,353.3042
12:45:32.0766 PM,0.3988846,2.179119,0.15918,309.7839,16.69107,352.7283
12:45:32.0878 PM,0.3982382,2.179168,0.1580906,309.5276,16.52404,352.8363
12:45:32.0990 PM,0.3969962,2.178967,0.1566398,309.5913,16.43312,353.0834
12:45:32.1107 PM,0.3961942,2.178738,0.1557848,309.7863,16.47145,353.1346
12:45:32.1209 PM,0.3958062,2.178648,0.1554109,309.8526,16.49615,353.1241
12:45:32.1320 PM,0.3946957,2.178471,0.1537807,309.8926,16.53309,353.0915
12:45:32.1434 PM,0.3939333,2.178428,0.1530926,309.8799,16.59613,353.0372
12:45:32.1551 PM,0.393358,2.178119,0.1516188,310.0999,17.24365,352.5433
12:45:32.1668 PM,0.3927604,2.177976,0.151122,310.3307,17.33998,352.7439
12:45:32.1765 PM,0.39176,2.177871,0.1503511,310.4835,17.08062,353.2672
12:45:32.1878 PM,0.3913506,2.177866,0.1501923,310.5428,16.89723,353.5817
12:45:32.1991 PM,0.3894923,2.178,0.1486487,310.2623,16.05467,354.2599
12:45:32.2107 PM,0.3882906,2.178087,0.1479588,310.011,15.56999,354.4986
12:45:32.2210 PM,0.3880396,2.178266,0.1475128,309.8427,15.20012,354.6817
12:45:32.2332 PM,0.3867385,2.178399,0.146735,309.5515,14.67095,354.8449
12:45:32.2433 PM,0.3851749,2.178663,0.1459031,309.1078,14.07803,354.9334
12:45:32.2549 PM,0.3844557,2.178849,0.145471,308.8473,13.74853,355.0232
12:45:32.2657 PM,0.3837915,2.179171,0.1443091,308.4426,13.78744,354.9061
12:45:32.2769 PM,0.3830241,2.179566,0.1431597,307.9328,14.22073,354.8038
12:45:32.2877 PM,0.3821546,2.180187,0.1413539,307.2457,15.21379,354.8455
12:45:32.2989 PM,0.3818004,2.180839,0.139547,306.557,15.8253,354.9973
12:45:32.3106 PM,0.3811906,2.181657,0.1380513,305.678,16.36965,355.248
12:45:32.3213 PM,0.3803551,2.183243,0.1351527,304.0425,16.74741,355.9774
12:45:32.3320 PM,0.3797746,2.184553,0.1331676,302.5523,17.23886,356.3231
12:45:32.3439 PM,0.3791651,2.185919,0.1303187,300.8511,18.27294,355.7011
12:45:32.3551 PM,0.3789966,2.187629,0.1271949,298.7707,19.6581,354.2184
12:45:32.3655 PM,0.3785758,2.189222,0.124726,296.7925,20.38152,353.4626
12:45:32.3767 PM,0.3777892,2.19093,0.1215423,294.6372,20.61713,353.2853
12:45:32.3879 PM,0.3773563,2.19271,0.1189631,292.4153,20.14564,353.8026
12:45:32.3992 PM,0.3759741,2.194345,0.1150364,290.0178,18.99642,355.0069
12:45:32.4098 PM,0.3753881,2.196213,0.112888,287.8612,17.27649,356.6331
12:45:32.4209 PM,0.4219946,2.040958,0.1595648,286.2538,15.58677,357.9018
12:45:32.4322 PM,0.4103548,2.035639,0.1519847,284.4657,14.15896,359.1904
12:45:32.4432 PM,0.40197,2.029982,0.1438462,282.8586,13.77507,359.5541
12:45:32.4549 PM,0.3912334,2.023371,0.1353279,281.3149,11.15562,1.904543
12:45:32.4658 PM,0.382142,2.016683,0.1272852,279.8445,6.744808,5.87199
12:45:32.4765 PM,0.3716733,2.011471,0.1209821,278.7056,0.7232916,11.59323
12:45:32.4877 PM,0.3604836,2.003808,0.1134075,278.3382,349.5797,22.56875
12:45:32.4990 PM,0.3490649,1.997748,0.1077631,278.3643,339.3419,32.79311
12:45:32.5107 PM,0.338407,1.988676,0.1008547,277.7556,329,43.04683
12:45:32.5209 PM,0.3258498,1.981642,0.09462904,278.4072,319.2813,52.59295
12:45:32.5320 PM,0.3135323,1.973205,0.08898623,279.1754,308.5168,63.23726
12:45:32.5434 PM,0.3019316,1.964619,0.08424529,280.2923,300.8284,70.71626
12:45:32.5551 PM,0.2904387,1.956855,0.08017848,281.4592,299.9586,71.12818
12:45:32.5658 PM,0.2791827,1.94899,0.07675152,282.5522,301.021,69.64566
12:45:32.5766 PM,0.2679628,1.939527,0.07232017,283.4929,298.8142,71.59638
12:45:32.5878 PM,0.2564309,1.931104,0.06777332,284.3246,300.2907,69.94067
12:45:32.6010 PM,0.2429543,1.920249,0.06218348,284.9355,299.5484,70.56558
12:45:32.6122 PM,0.2308301,1.911373,0.05713006,285.2493,298.6894,71.49216
12:45:32.6234 PM,0.2193746,1.901309,0.05254205,285.9008,296.9071,73.28875
12:45:32.6350 PM,0.2074689,1.890724,0.04780265,286.7249,294.9891,75.59338
12:45:32.6458 PM,0.1963817,1.880211,0.04339621,287.7453,293.3357,77.71478
12:45:32.6574 PM,0.1867155,1.870573,0.037691,288.518,291.8839,79.21368
12:45:32.6686 PM,0.1781651,1.86067,0.03180403,288.813,290.2929,80.32485
12:45:32.6797 PM,0.1703725,1.851577,0.02564069,288.401,288.1031,81.45728
12:45:32.6911 PM,0.1629648,1.84388,0.01986188,287.0797,285.2525,81.79562
12:45:32.7018 PM,0.1549487,1.835764,0.01512029,286.3573,283.019,81.88242
12:45:32.7129 PM,0.1465524,1.825942,0.01095992,286.0294,281.4813,80.96788
12:45:32.7237 PM,0.1377542,1.818011,0.007549785,285.9769,280.916,80.01082
12:45:32.7361 PM,0.1285951,1.808451,0.004642054,286.2753,281.2967,78.61536
12:45:32.7459 PM,0.1196124,1.799409,0.001159854,286.6364,281.1386,78.15937
12:45:32.7578 PM,0.1117043,1.790183,-0.001660787,286.7288,281.4354,77.50695
12:45:32.7686 PM,0.1029925,1.780646,-0.003569216,286.1364,281.349,77.89463
12:45:32.7797 PM,0.09605905,1.774046,-0.004237272,286.1829,281.2733,77.45734
12:45:32.7915 PM,0.08962132,1.766949,-0.004810683,286.1272,283.4597,73.86053
12:45:32.8022 PM,0.08301181,1.759107,-0.006564073,285.9627,285.455,70.48801
12:45:32.8134 PM,0.07678621,1.750628,-0.004780881,285.4622,293.7136,60.31891
12:45:32.8251 PM,0.06902643,1.743547,-0.003394276,285.2609,300.0634,53.55705
12:45:32.8355 PM,0.06096087,1.735862,-0.002729945,285.3163,305.2083,49.79815
12:45:32.8467 PM,0.05368897,1.72788,-0.00342574,285.5971,307.5856,48.21958
12:45:32.8578 PM,0.04669639,1.720305,-0.004252419,285.8214,309.7983,46.0867
12:45:32.8692 PM,0.04185297,1.712496,-0.004446067,286.0083,311.4406,44.17154
12:45:32.8810 PM,0.03703891,1.705632,-0.005041983,285.8005,314.2021,40.48137
12:45:32.8912 PM,0.03234236,1.698942,-0.005558196,284.8985,318.6802,34.90019
12:45:32.9024 PM,0.02655473,1.692151,-0.006195858,284.2427,322.5602,30.36801
12:45:32.9137 PM,0.02052696,1.685273,-0.007368319,283.5853,326.2668,26.22163
12:45:32.9254 PM,0.01335829,1.678487,-0.008312501,282.9987,330.3106,22.05103
12:45:32.9365 PM,0.004506271,1.67107,-0.008938603,282.5729,332.4753,20.33693
12:45:32.9476 PM,-0.003944285,1.663962,-0.009824682,282.5241,333.3035,19.6713
12:45:32.9578 PM,-0.01219502,1.65692,-0.01079581,282.6638,333.0523,19.75899
12:45:32.9700 PM,-0.02227699,1.647301,-0.0134248,282.7143,332.6151,20.50947
12:45:32.9807 PM,-0.03154365,1.64169,-0.01489143,282.7555,328.3108,25.34581
12:45:32.9915 PM,-0.01620351,1.64142,-0.01249949,283.0369,326.813,26.83075
12:45:33.0026 PM,-0.02400988,1.635205,-0.01409326,283.2674,327.1526,26.18384
12:45:33.0138 PM,-0.03183907,1.628113,-0.016093,283.7404,327.0983,25.33278
12:45:33.0250 PM,-0.03835522,1.623894,-0.01805256,284.0913,328.2658,23.2591
12:45:33.0356 PM,-0.04579701,1.618233,-0.01995952,284.1843,329.4256,21.54427
12:45:33.0469 PM,-0.05279505,1.613478,-0.02147969,284.0328,331.3067,19.24707
12:45:33.0585 PM,-0.05973073,1.608384,-0.02381292,284.0353,332.3394,17.80218
12:45:33.0692 PM,-0.06773867,1.603018,-0.02626419,283.8747,333.9528,15.62686
12:45:33.0809 PM,-0.07557763,1.597655,-0.02878688,283.7451,334.5029,14.5176
12:45:33.0915 PM,-0.08318706,1.592358,-0.03100409,283.6358,334.7858,13.71607
12:45:33.1023 PM,-0.09069869,1.587935,-0.03354444,283.5177,334.7819,13.19569
12:45:33.1135 PM,-0.09836479,1.583406,-0.03558576,283.426,335.0496,12.43444
12:45:33.1252 PM,-0.1049298,1.579007,-0.03668899,283.1959,335.2328,11.58589
12:45:33.1359 PM,-0.1119621,1.574208,-0.03855955,283.0302,336.101,9.986011
12:45:33.1476 PM,-0.1190343,1.569306,-0.04054152,282.8838,337.2212,8.173392
12:45:33.1587 PM,-0.1259131,1.564366,-0.04226013,282.6902,338.2623,6.540075
12:45:33.1688 PM,-0.132589,1.560791,-0.04276911,282.5937,339.4116,4.947655
12:45:33.1806 PM,-0.1393036,1.557225,-0.0440173,282.5203,340.6715,3.107466
12:45:33.1914 PM,-0.1444334,1.554151,-0.04367018,282.6452,343.7603,359.1734
12:45:33.2042 PM,-0.1508531,1.549933,-0.04442058,282.6974,347.7072,354.2556
12:45:33.2154 PM,-0.1560907,1.545935,-0.04451072,282.8224,352.3788,348.764
12:45:33.2266 PM,-0.1611531,1.541945,-0.04446174,283.1935,357.5401,342.8592
12:45:33.2378 PM,-0.1667849,1.537778,-0.04436538,283.8278,2.460219,337.3751
12:45:33.2496 PM,-0.1737151,1.532822,-0.0436933,284.7003,5.793117,333.9244
