Time, X, Y, Z, Pitch, Yaw, Roll
12:41:52.0506 PM,0.007055763,0.7767801,0.3762791,13.80661,353.893,358.8668
12:41:52.0615 PM,0.008779768,0.7785508,0.3735005,13.90373,354.4754,358.4608
12:41:52.0726 PM,0.01005456,0.7809351,0.3702123,13.95908,355.0679,358.1678
12:41:52.0821 PM,0.01122493,0.7835402,0.366709,13.91797,355.757,357.7628
12:41:52.0931 PM,0.01197199,0.7857115,0.3630167,13.92146,356.4378,357.3939
12:41:52.1046 PM,0.01221355,0.7880982,0.3591675,13.9696,356.9796,357.1261
12:41:52.1179 PM,0.0119965,0.7908657,0.3552341,14.02981,357.3162,357.0393
12:41:52.1264 PM,0.01139115,0.7933523,0.3512683,14.12146,357.3932,357.2078
12:41:52.1372 PM,0.01056295,0.7957962,0.3473044,14.27041,357.2715,357.706
12:41:52.1493 PM,0.009372409,0.7979481,0.3436858,14.46607,356.7956,358.8932
12:41:52.1608 PM,0.009590257,0.7996732,0.3404357,14.50038,356.6567,359.6406
12:41:52.1716 PM,0.009887923,0.8016154,0.336998,14.55275,356.7374,0.04512049
12:41:52.1825 PM,0.01145488,0.8028874,0.3330143,14.63612,357.1747,359.6047
12:41:52.1939 PM,0.01200381,0.8040017,0.3288652,14.8906,357.6346,358.1921
12:41:52.2039 PM,0.0120105,0.8052076,0.3250586,15.15194,357.8715,357.6829
12:41:52.2159 PM,0.01057396,0.8069732,0.3210705,15.64183,357.9642,357.1644
12:41:52.2269 PM,0.006922495,0.8099527,0.316429,15.77339,357.1924,358.1987
12:41:52.2374 PM,0.005679522,0.8120825,0.3122404,15.95999,357.1918,358.2081
12:41:52.2490 PM,0.004504602,0.8142976,0.308843,15.79981,356.2764,359.6436
12:41:52.2605 PM,0.005424883,0.8165643,0.3046617,15.64273,355.9959,0.006312458
12:41:52.2716 PM,0.00586709,0.8186353,0.3003276,15.63631,355.9865,359.9756
12:41:52.2823 PM,0.007121053,0.8200162,0.2953117,15.34059,356.665,358.9673
12:41:52.2949 PM,0.0089471,0.8221934,0.2896356,15.16135,357.324,357.8777
12:41:52.3040 PM,0.009783607,0.82404,0.2844872,14.96107,358.3527,357.2878
12:41:52.3151 PM,0.00993884,0.8256985,0.2793588,14.81158,358.9628,357.39
12:41:52.3274 PM,0.009572793,0.8276825,0.2743611,14.62868,359.3839,357.9311
12:41:52.3381 PM,0.009341154,0.8295412,0.269339,14.40501,359.7121,358.7255
12:41:52.3491 PM,0.009431232,0.8313317,0.2641022,14.19178,0.06636527,359.3702
12:41:52.3605 PM,0.01116545,0.8351997,0.2569182,13.9624,0.5085243,359.7168
12:41:52.3716 PM,0.01122409,0.8371233,0.2507569,13.66854,0.8772735,359.569
12:41:52.3821 PM,0.01270278,0.8385397,0.2434213,13.25466,1.4091,358.5788
12:41:52.3941 PM,0.0139858,0.8390203,0.2369449,13.02742,2.179857,357.6364
12:41:52.4052 PM,0.01355701,0.8398975,0.2312611,12.95255,3.030519,357.0118
12:41:52.4152 PM,0.008150134,0.8429096,0.2246201,12.65806,3.048788,355.3849
12:41:52.4269 PM,0.007455815,0.8434386,0.2184156,12.7228,3.766303,355.5195
