Cylinder #, Time Hit, Date
001,18:18:42.3991 PM,2023/12/03
002,18:18:42.6305 PM,2023/12/03
003,18:18:42.8537 PM,2023/12/03
004,18:18:43.0538 PM,2023/12/03
005,18:18:43.2204 PM,2023/12/03
006,18:18:43.4346 PM,2023/12/03
007,18:18:43.6765 PM,2023/12/03
008,18:18:43.9316 PM,2023/12/03
010,18:18:44.0866 PM,2023/12/03
009,18:18:44.1545 PM,2023/12/03
011,18:18:44.4431 PM,2023/12/03
012,18:18:44.6094 PM,2023/12/03
013,18:18:44.7644 PM,2023/12/03
014,18:18:44.8758 PM,2023/12/03
015,18:18:44.9978 PM,2023/12/03
016,18:18:45.2870 PM,2023/12/03
017,18:18:45.5206 PM,2023/12/03
018,18:18:45.7307 PM,2023/12/03
019,18:18:45.8427 PM,2023/12/03
020,18:18:46.0436 PM,2023/12/03
021,18:18:46.2566 PM,2023/12/03
022,18:18:46.3996 PM,2023/12/03
023,18:18:46.4981 PM,2023/12/03
024,18:18:46.6658 PM,2023/12/03
025,18:18:46.7989 PM,2023/12/03
026,18:18:46.8880 PM,2023/12/03
027,18:18:46.9868 PM,2023/12/03
028,18:18:47.0977 PM,2023/12/03
029,18:18:47.2425 PM,2023/12/03
030,18:18:47.3769 PM,2023/12/03
031,18:18:47.4867 PM,2023/12/03
032,18:18:47.5980 PM,2023/12/03
033,18:18:47.7094 PM,2023/12/03
034,18:18:47.7645 PM,2023/12/03
035,18:18:47.9535 PM,2023/12/03
036,18:18:48.1457 PM,2023/12/03
037,18:18:48.1548 PM,2023/12/03
038,18:18:48.2195 PM,2023/12/03
039,18:18:48.3127 PM,2023/12/03
040,18:18:48.4107 PM,2023/12/03
041,18:18:48.5545 PM,2023/12/03
042,18:18:48.6774 PM,2023/12/03
043,18:18:48.8371 PM,2023/12/03
044,18:18:48.9878 PM,2023/12/03
045,18:18:49.0870 PM,2023/12/03
046,18:18:49.2095 PM,2023/12/03
047,18:18:49.3528 PM,2023/12/03
048,18:18:49.4668 PM,2023/12/03
049,18:18:49.5534 PM,2023/12/03
050,18:18:49.6536 PM,2023/12/03
051,18:18:49.7423 PM,2023/12/03
052,18:18:49.8425 PM,2023/12/03
053,18:18:49.9763 PM,2023/12/03
054,18:18:50.0990 PM,2023/12/03
057,18:18:50.3870 PM,2023/12/03
058,18:18:50.5095 PM,2023/12/03
059,18:18:50.7197 PM,2023/12/03
060,18:18:50.9097 PM,2023/12/03
061,18:18:51.1547 PM,2023/12/03
064,18:18:51.2989 PM,2023/12/03
062,18:18:51.3438 PM,2023/12/03
063,18:18:51.4103 PM,2023/12/03
065,18:18:51.9930 PM,2023/12/03
066,18:18:52.1314 PM,2023/12/03
067,18:18:52.3326 PM,2023/12/03
068,18:18:52.5195 PM,2023/12/03
069,18:18:52.6644 PM,2023/12/03
070,18:18:52.7980 PM,2023/12/03
071,18:18:52.9096 PM,2023/12/03
072,18:18:53.0095 PM,2023/12/03
073,18:18:53.1654 PM,2023/12/03
074,18:18:53.2759 PM,2023/12/03
075,18:18:53.4204 PM,2023/12/03
076,18:18:53.5195 PM,2023/12/03
077,18:18:53.7761 PM,2023/12/03
078,18:18:53.9536 PM,2023/12/03
079,18:18:54.1308 PM,2023/12/03
080,18:18:54.3197 PM,2023/12/03
081,18:18:54.5093 PM,2023/12/03
082,18:18:54.6748 PM,2023/12/03
083,18:18:54.8424 PM,2023/12/03
084,18:18:55.0098 PM,2023/12/03
085,18:18:55.1758 PM,2023/12/03
086,18:18:55.2766 PM,2023/12/03
087,18:18:55.3759 PM,2023/12/03
088,18:18:55.4747 PM,2023/12/03
089,18:18:55.5642 PM,2023/12/03
090,18:18:55.6527 PM,2023/12/03
091,18:18:55.7315 PM,2023/12/03
092,18:18:55.8195 PM,2023/12/03
093,18:18:55.9318 PM,2023/12/03
096,18:18:56.5091 PM,2023/12/03
095,18:18:56.6204 PM,2023/12/03
094,18:18:56.7436 PM,2023/12/03
097,18:18:57.3863 PM,2023/12/03
098,18:18:57.4862 PM,2023/12/03
099,18:18:57.6525 PM,2023/12/03
100,18:18:57.7755 PM,2023/12/03
101,18:18:57.9094 PM,2023/12/03
102,18:18:58.0535 PM,2023/12/03
103,18:18:58.2089 PM,2023/12/03
104,18:18:58.3536 PM,2023/12/03
105,18:18:58.4863 PM,2023/12/03
106,18:18:58.6207 PM,2023/12/03
107,18:18:58.7662 PM,2023/12/03
108,18:18:58.9090 PM,2023/12/03
109,18:18:59.1754 PM,2023/12/03
110,18:18:59.3755 PM,2023/12/03
111,18:18:59.5089 PM,2023/12/03
112,18:18:59.6326 PM,2023/12/03
113,18:18:59.7535 PM,2023/12/03
114,18:18:59.8865 PM,2023/12/03
115,18:19:00.0208 PM,2023/12/03
116,18:19:00.1757 PM,2023/12/03
117,18:19:00.2983 PM,2023/12/03
118,18:19:00.4654 PM,2023/12/03
119,18:19:00.7196 PM,2023/12/03
120,18:19:00.8747 PM,2023/12/03
121,18:19:01.0307 PM,2023/12/03
122,18:19:01.2088 PM,2023/12/03
123,18:19:01.4525 PM,2023/12/03
124,18:19:01.5977 PM,2023/12/03
125,18:19:01.7643 PM,2023/12/03
126,18:19:01.9195 PM,2023/12/03
127,18:19:02.0980 PM,2023/12/03
128,18:19:02.2653 PM,2023/12/03
129,18:19:02.4640 PM,2023/12/03
130,18:19:02.6415 PM,2023/12/03
131,18:19:02.7976 PM,2023/12/03
132,18:19:02.9525 PM,2023/12/03
133,18:19:03.0978 PM,2023/12/03
134,18:19:03.2314 PM,2023/12/03
135,18:19:03.3748 PM,2023/12/03
136,18:19:03.5197 PM,2023/12/03
137,18:19:03.6864 PM,2023/12/03
138,18:19:03.8527 PM,2023/12/03
139,18:19:04.0199 PM,2023/12/03
140,18:19:04.0425 PM,2023/12/03
141,18:19:04.3196 PM,2023/12/03
142,18:19:04.4866 PM,2023/12/03
143,18:19:04.6863 PM,2023/12/03
144,18:19:04.8864 PM,2023/12/03
145,18:19:05.0524 PM,2023/12/03
146,18:19:05.1866 PM,2023/12/03
147,18:19:05.3088 PM,2023/12/03
148,18:19:05.4535 PM,2023/12/03
149,18:19:05.6642 PM,2023/12/03
150,18:19:05.8535 PM,2023/12/03
056,18:19:08.0904 PM,2023/12/03
055,18:19:08.3015 PM,2023/12/03
