Cylinder #, Time Hit, Date
011,20:50:41.8632 PM,2023/12/05
010,20:50:42.1043 PM,2023/12/05
009,20:50:42.6362 PM,2023/12/05
008,20:50:42.9358 PM,2023/12/05
007,20:50:43.1803 PM,2023/12/05
006,20:50:43.4362 PM,2023/12/05
005,20:50:43.7582 PM,2023/12/05
004,20:50:43.9912 PM,2023/12/05
003,20:50:44.2138 PM,2023/12/05
002,20:50:44.4801 PM,2023/12/05
esh,20:50:44.8912 PM,2023/12/05
029,20:50:45.1133 PM,2023/12/05
028,20:50:45.3021 PM,2023/12/05
027,20:50:45.5682 PM,2023/12/05
026,20:50:45.8241 PM,2023/12/05
025,20:50:46.1572 PM,2023/12/05
024,20:50:46.4900 PM,2023/12/05
023,20:50:46.8237 PM,2023/12/05
022,20:50:47.1792 PM,2023/12/05
021,20:50:47.5004 PM,2023/12/05
020,20:50:47.8451 PM,2023/12/05
019,20:50:48.1561 PM,2023/12/05
018,20:50:48.4672 PM,2023/12/05
017,20:50:48.7675 PM,2023/12/05
016,20:50:49.1002 PM,2023/12/05
015,20:50:49.4443 PM,2023/12/05
014,20:50:49.6892 PM,2023/12/05
013,20:50:49.9100 PM,2023/12/05
012,20:50:50.2442 PM,2023/12/05
