Cylinder #, Time Hit, Date
027,16:39:38.4063 PM,2023/12/03
028,16:39:38.7059 PM,2023/12/03
029,16:39:38.9734 PM,2023/12/03
030,16:39:39.2499 PM,2023/12/03
031,16:39:39.5832 PM,2023/12/03
032,16:39:39.8998 PM,2023/12/03
036,16:39:40.1280 PM,2023/12/03
033,16:39:40.8280 PM,2023/12/03
035,16:39:41.4950 PM,2023/12/03
034,16:39:41.8748 PM,2023/12/03
037,16:39:42.4493 PM,2023/12/03
038,16:39:42.6494 PM,2023/12/03
039,16:39:42.9899 PM,2023/12/03
040,16:39:43.2614 PM,2023/12/03
041,16:39:43.6062 PM,2023/12/03
042,16:39:43.7512 PM,2023/12/03
043,16:39:44.0051 PM,2023/12/03
044,16:39:44.5382 PM,2023/12/03
045,16:39:45.0721 PM,2023/12/03
046,16:39:45.3943 PM,2023/12/03
047,16:39:45.6842 PM,2023/12/03
048,16:39:46.4944 PM,2023/12/03
049,16:39:46.9495 PM,2023/12/03
050,16:39:47.3062 PM,2023/12/03
051,16:39:47.6061 PM,2023/12/03
052,16:39:48.0313 PM,2023/12/03
053,16:39:48.4113 PM,2023/12/03
054,16:39:48.6621 PM,2023/12/03
055,16:39:49.0505 PM,2023/12/03
056,16:39:49.3941 PM,2023/12/03
057,16:39:49.6614 PM,2023/12/03
058,16:39:50.0164 PM,2023/12/03
014,16:39:50.0532 PM,2023/12/03
013,16:39:50.2401 PM,2023/12/03
059,16:39:50.4069 PM,2023/12/03
060,16:39:50.8054 PM,2023/12/03
061,16:39:51.4043 PM,2023/12/03
022,16:39:51.5511 PM,2023/12/03
021,16:39:51.9719 PM,2023/12/03
023,16:39:52.2834 PM,2023/12/03
024,16:39:52.5841 PM,2023/12/03
025,16:39:52.8724 PM,2023/12/03
015,16:39:53.3341 PM,2023/12/03
016,16:39:53.6173 PM,2023/12/03
026,16:39:53.6635 PM,2023/12/03
017,16:39:53.8562 PM,2023/12/03
018,16:39:54.2061 PM,2023/12/03
019,16:39:54.5064 PM,2023/12/03
020,16:39:54.7670 PM,2023/12/03
062,16:39:55.5605 PM,2023/12/03
063,16:39:55.9173 PM,2023/12/03
064,16:39:56.3381 PM,2023/12/03
065,16:39:56.6392 PM,2023/12/03
066,16:39:57.0707 PM,2023/12/03
067,16:39:57.6804 PM,2023/12/03
068,16:39:58.1382 PM,2023/12/03
069,16:39:58.5384 PM,2023/12/03
001,16:39:59.1933 PM,2023/12/03
002,16:39:59.6270 PM,2023/12/03
003,16:39:59.9467 PM,2023/12/03
004,16:40:00.2373 PM,2023/12/03
006,16:40:00.8070 PM,2023/12/03
005,16:40:01.1835 PM,2023/12/03
008,16:40:01.8370 PM,2023/12/03
007,16:40:02.2607 PM,2023/12/03
009,16:40:02.7412 PM,2023/12/03
010,16:40:02.9262 PM,2023/12/03
011,16:40:03.2713 PM,2023/12/03
012,16:40:03.5181 PM,2023/12/03
