Cylinder #, Time Hit, Date
020,19:38:14.1529 PM,2023/12/05
010,19:38:14.6478 PM,2023/12/05
011,19:38:15.0918 PM,2023/12/05
012,19:38:15.5025 PM,2023/12/05
013,19:38:15.9582 PM,2023/12/05
014,19:38:16.4027 PM,2023/12/05
029,19:38:16.6918 PM,2023/12/05
028,19:38:16.9128 PM,2023/12/05
003,19:38:17.1248 PM,2023/12/05
001,19:38:17.4688 PM,2023/12/05
006,19:38:17.9798 PM,2023/12/05
030,19:38:18.5797 PM,2023/12/05
004,19:38:18.9127 PM,2023/12/05
041,19:38:19.8599 PM,2023/12/05
031,19:38:56.2557 PM,2023/12/05
032,19:38:56.8515 PM,2023/12/05
033,19:38:57.3728 PM,2023/12/05
034,19:38:58.3771 PM,2023/12/05
035,19:38:58.8604 PM,2023/12/05
025,19:38:59.3275 PM,2023/12/05
027,19:38:59.6499 PM,2023/12/05
026,19:39:00.0052 PM,2023/12/05
040,19:39:00.3720 PM,2023/12/05
039,19:39:00.6718 PM,2023/12/05
038,19:39:00.9819 PM,2023/12/05
036,19:39:01.3049 PM,2023/12/05
037,19:39:01.7715 PM,2023/12/05
022,19:39:02.2865 PM,2023/12/05
015,19:39:02.6594 PM,2023/12/05
021,19:39:02.9703 PM,2023/12/05
024,19:39:03.4810 PM,2023/12/05
023,19:39:03.8038 PM,2023/12/05
017,19:39:04.1912 PM,2023/12/05
ere,19:39:04.5471 PM,2023/12/05
016,19:39:04.9151 PM,2023/12/05
009,19:39:05.5805 PM,2023/12/05
008,19:39:05.9601 PM,2023/12/05
005,19:39:07.1940 PM,2023/12/05
007,19:39:07.6679 PM,2023/12/05
002,19:39:10.4393 PM,2023/12/05
019,19:39:11.3014 PM,2023/12/05
