Cylinder #, Time Hit, Date
026,11:32:37.9586 AM,2023/12/05
027,11:32:38.6127 AM,2023/12/05
025,11:32:38.9906 AM,2023/12/05
006,11:32:39.6454 AM,2023/12/05
003,11:32:40.7575 AM,2023/12/05
024,11:32:41.0681 AM,2023/12/05
023,11:32:42.6786 AM,2023/12/05
021,11:32:43.5797 AM,2023/12/05
015,11:32:43.6348 AM,2023/12/05
022,11:32:44.2239 AM,2023/12/05
016,11:32:47.9707 AM,2023/12/05
009,11:32:49.4145 AM,2023/12/05
017,11:32:51.9250 AM,2023/12/05
019,11:32:52.7250 AM,2023/12/05
018,11:32:53.2920 AM,2023/12/05
020,11:32:53.8033 AM,2023/12/05
014,11:32:54.1846 AM,2023/12/05
013,11:32:54.6738 AM,2023/12/05
012,11:32:55.6544 AM,2023/12/05
011,11:32:56.7425 AM,2023/12/05
010,11:32:59.5292 AM,2023/12/05
001,11:33:01.5179 AM,2023/12/05
007,11:33:03.6849 AM,2023/12/05
008,11:33:04.8518 AM,2023/12/05
005,11:33:05.8180 AM,2023/12/05
002,11:33:06.2392 AM,2023/12/05
ere,11:33:06.3847 AM,2023/12/05
004,11:33:08.5958 AM,2023/12/05
