Cylinder #, Time Hit, Date
011,20:52:27.8269 PM,2023/12/05
021,20:52:28.0117 PM,2023/12/05
022,20:52:28.1116 PM,2023/12/05
023,20:52:28.1785 PM,2023/12/05
024,20:52:28.2662 PM,2023/12/05
025,20:52:28.4115 PM,2023/12/05
026,20:52:28.4995 PM,2023/12/05
027,20:52:28.5553 PM,2023/12/05
028,20:52:28.6106 PM,2023/12/05
029,20:52:28.7334 PM,2023/12/05
030,20:52:28.8663 PM,2023/12/05
031,20:52:28.9773 PM,2023/12/05
032,20:52:29.2884 PM,2023/12/05
033,20:52:29.3885 PM,2023/12/05
034,20:52:29.4995 PM,2023/12/05
035,20:52:29.6105 PM,2023/12/05
036,20:52:29.7326 PM,2023/12/05
037,20:52:29.8777 PM,2023/12/05
038,20:52:30.0105 PM,2023/12/05
039,20:52:30.1546 PM,2023/12/05
010,20:52:30.4210 PM,2023/12/05
009,20:52:30.4435 PM,2023/12/05
040,20:52:30.8325 PM,2023/12/05
008,20:52:31.2318 PM,2023/12/05
007,20:52:31.3103 PM,2023/12/05
006,20:52:31.3978 PM,2023/12/05
005,20:52:31.5765 PM,2023/12/05
004,20:52:31.6984 PM,2023/12/05
003,20:52:31.8093 PM,2023/12/05
002,20:52:31.9131 PM,2023/12/05
001,20:52:32.0455 PM,2023/12/05
020,20:52:32.1536 PM,2023/12/05
019,20:52:32.3765 PM,2023/12/05
016,20:52:33.3142 PM,2023/12/05
017,20:52:33.3866 PM,2023/12/05
018,20:52:33.5203 PM,2023/12/05
015,20:52:34.0865 PM,2023/12/05
014,20:52:34.2420 PM,2023/12/05
013,20:52:34.4306 PM,2023/12/05
012,20:52:34.6525 PM,2023/12/05
