Cylinder #, Time Hit, Date
032,12:41:56.6601 PM,2023/12/03
031,12:41:57.1274 PM,2023/12/03
030,12:41:57.5606 PM,2023/12/03
029,12:41:57.8381 PM,2023/12/03
028,12:41:58.0713 PM,2023/12/03
027,12:41:58.3269 PM,2023/12/03
026,12:41:58.5940 PM,2023/12/03
025,12:41:58.7938 PM,2023/12/03
024,12:41:59.3053 PM,2023/12/03
036,12:41:59.3381 PM,2023/12/03
035,12:41:59.4930 PM,2023/12/03
021,12:42:00.3160 PM,2023/12/03
020,12:42:00.5486 PM,2023/12/03
019,12:42:00.9471 PM,2023/12/03
017,12:42:01.6483 PM,2023/12/03
016,12:42:02.0582 PM,2023/12/03
076,12:42:02.0922 PM,2023/12/03
018,12:42:02.7021 PM,2023/12/03
075,12:42:03.2690 PM,2023/12/03
015,12:42:03.9806 PM,2023/12/03
014,12:42:04.4350 PM,2023/12/03
013,12:42:04.7474 PM,2023/12/03
012,12:42:05.1143 PM,2023/12/03
011,12:42:05.4023 PM,2023/12/03
010,12:42:05.8022 PM,2023/12/03
009,12:42:06.1686 PM,2023/12/03
008,12:42:06.4576 PM,2023/12/03
007,12:42:06.7127 PM,2023/12/03
006,12:42:07.0917 PM,2023/12/03
005,12:42:07.3821 PM,2023/12/03
004,12:42:07.8924 PM,2023/12/03
003,12:42:08.1139 PM,2023/12/03
002,12:42:08.5470 PM,2023/12/03
001,12:42:08.9360 PM,2023/12/03
091,12:42:09.8361 PM,2023/12/03
090,12:42:10.1797 PM,2023/12/03
089,12:42:10.5032 PM,2023/12/03
088,12:42:16.2348 PM,2023/12/03
087,12:42:16.7899 PM,2023/12/03
086,12:42:17.3461 PM,2023/12/03
085,12:42:17.6899 PM,2023/12/03
084,12:42:17.9455 PM,2023/12/03
083,12:42:18.1677 PM,2023/12/03
082,12:42:18.3899 PM,2023/12/03
081,12:42:18.6010 PM,2023/12/03
080,12:42:18.8242 PM,2023/12/03
079,12:42:19.2567 PM,2023/12/03
078,12:42:19.8795 PM,2023/12/03
077,12:42:20.4460 PM,2023/12/03
074,12:42:21.4340 PM,2023/12/03
073,12:42:21.7568 PM,2023/12/03
072,12:42:22.0231 PM,2023/12/03
059,12:42:22.1010 PM,2023/12/03
071,12:42:22.3460 PM,2023/12/03
070,12:42:22.7568 PM,2023/12/03
069,12:42:23.6020 PM,2023/12/03
068,12:42:24.2244 PM,2023/12/03
067,12:42:24.5566 PM,2023/12/03
066,12:42:24.8788 PM,2023/12/03
065,12:42:25.2899 PM,2023/12/03
063,12:42:26.0343 PM,2023/12/03
064,12:42:26.9566 PM,2023/12/03
062,12:42:27.7343 PM,2023/12/03
061,12:42:28.0788 PM,2023/12/03
060,12:42:28.4677 PM,2023/12/03
058,12:42:29.1231 PM,2023/12/03
057,12:42:29.5129 PM,2023/12/03
056,12:42:29.7899 PM,2023/12/03
055,12:42:30.0010 PM,2023/12/03
054,12:42:30.2121 PM,2023/12/03
053,12:42:30.5344 PM,2023/12/03
052,12:42:30.8344 PM,2023/12/03
051,12:42:31.2234 PM,2023/12/03
046,12:42:31.4233 PM,2023/12/03
049,12:42:31.9564 PM,2023/12/03
050,12:42:32.3118 PM,2023/12/03
048,12:42:32.8899 PM,2023/12/03
047,12:42:33.3227 PM,2023/12/03
045,12:42:33.9471 PM,2023/12/03
044,12:42:34.2570 PM,2023/12/03
043,12:42:34.6228 PM,2023/12/03
042,12:42:35.1573 PM,2023/12/03
041,12:42:35.5471 PM,2023/12/03
040,12:42:35.9233 PM,2023/12/03
038,12:42:36.2462 PM,2023/12/03
037,12:42:36.5677 PM,2023/12/03
034,12:42:37.3677 PM,2023/12/03
033,12:42:37.9788 PM,2023/12/03
023,12:42:38.6789 PM,2023/12/03
022,12:42:39.0352 PM,2023/12/03
