Cylinder #, Time Hit, Date
006,18:15:52.6669 PM,2023/12/03
005,18:15:53.1340 PM,2023/12/03
004,18:15:53.3889 PM,2023/12/03
003,18:15:53.6112 PM,2023/12/03
002,18:15:53.9110 PM,2023/12/03
esh,18:15:54.2442 PM,2023/12/03
029,18:15:54.3669 PM,2023/12/03
028,18:15:54.4888 PM,2023/12/03
027,18:15:54.5999 PM,2023/12/03
026,18:15:54.7342 PM,2023/12/03
025,18:15:54.8784 PM,2023/12/03
024,18:15:55.0343 PM,2023/12/03
021,18:15:55.3896 PM,2023/12/03
020,18:15:55.5118 PM,2023/12/03
022,18:15:55.8010 PM,2023/12/03
023,18:15:55.9339 PM,2023/12/03
019,18:15:56.5120 PM,2023/12/03
018,18:15:56.6002 PM,2023/12/03
017,18:15:56.7782 PM,2023/12/03
016,18:15:57.0120 PM,2023/12/03
015,18:15:57.2223 PM,2023/12/03
014,18:15:57.4449 PM,2023/12/03
013,18:15:57.6119 PM,2023/12/03
012,18:15:57.7999 PM,2023/12/03
011,18:15:58.0222 PM,2023/12/03
010,18:15:58.2109 PM,2023/12/03
009,18:15:58.4220 PM,2023/12/03
008,18:15:58.6682 PM,2023/12/03
007,18:15:58.9110 PM,2023/12/03
005,18:16:03.2563 PM,2023/12/03
